name;gender;category;year
André Paul Guillaume Gide;male;Literature;1947
Arthur Ashkin;male;Physics;2018
Gérard Mourou;male;Physics;2018
Donna Strickland;female;Physics;2018
Andrea Ghez;female;Physics;2020
Roger Penrose;male;Physics;2020
Reinhard Genzel;male;Physics;2020
Alfred G. Gilman;male;Physiology_or_Medicine;1994
Martin Rodbell;male;Physiology_or_Medicine;1994
Earl (Bertrand Arthur William) Russell;male;Literature;1950
Barack Hussein Obama;male;Peace;2009
Charles Thomson Rees Wilson;male;Physics;1927
Arthur Holly Compton;male;Physics;1927
Albert Schweitzer;male;Peace;1952
Albert Arnold (Al) Gore Jr.;male;Peace;2007
Charles Brenton Huggins;male;Physiology_or_Medicine;1966
Peyton Rous;male;Physiology_or_Medicine;1966
Christian B. Anfinsen;male;Chemistry;1972
Stanford Moore;male;Chemistry;1972
William H. Stein;male;Chemistry;1972
Carl Ferdinand Cori;male;Physiology_or_Medicine;1947
Bernardo Alberto Houssay;male;Physiology_or_Medicine;1947
Gerty Theresa Cori, née Radnitz;female;Physiology_or_Medicine;1947
Archer John Porter Martin;male;Chemistry;1952
Richard Laurence Millington Synge;male;Chemistry;1952
Adolfo Pérez Esquivel;male;Peace;1980
Burton Richter;male;Physics;1976
Samuel Chao Chung Ting;male;Physics;1976
Andre Geim;male;Physics;2010
Konstantin Novoselov;male;Physics;2010
Alexis Carrel;male;Physiology_or_Medicine;1912
Angus Deaton;male;Economic_Sciences;2015
Adam G. Riess;male;Physics;2011
Brian P. Schmidt;male;Physics;2011
Saul Perlmutter;male;Physics;2011
Clifford G. Shull;male;Physics;1994
Bertram N. Brockhouse;male;Physics;1994
Arno Allan Penzias;male;Physics;1978
Pyotr Leonidovich Kapitsa;male;Physics;1978
Robert Woodrow Wilson;male;Physics;1978
Charles Albert Gobat;male;Peace;1902
Élie Ducommun;male;Peace;1902
Anthony J. Leggett;male;Physics;2003
Alexei Alexeyevich Abrikosov;male;Physics;2003
Vitaly Lazarevich Ginzburg;male;Physics;2003
A. Michael Spence;male;Economic_Sciences;2001
George A. Akerlof;male;Economic_Sciences;2001
Joseph E. Stiglitz;male;Economic_Sciences;2001
Bertil Ohlin;male;Economic_Sciences;1977
James E. Meade;male;Economic_Sciences;1977
Amartya Sen;male;Economic_Sciences;1998
Charles Robert Richet;male;Physiology_or_Medicine;1913
Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau;female;Peace;1905
Charles Hard Townes;male;Physics;1964
Aleksandr Mikhailovich Prokhorov;male;Physics;1964
Nicolay Gennadiyevich Basov;male;Physics;1964
Aage Niels Bohr;male;Physics;1975
Ben Roy Mottelson;male;Physics;1975
Leo James Rainwater;male;Physics;1975
Artturi Ilmari Virtanen;male;Chemistry;1945
Mohamed Anwar al-Sadat;male;Peace;1978
Menachem Begin;male;Peace;1978
Baruj Benacerraf;male;Physiology_or_Medicine;1980
George D. Snell;male;Physiology_or_Medicine;1980
Jean Dausset;male;Physiology_or_Medicine;1980
Carl von Ossietzky;male;Peace;1935
Archibald Vivian Hill;male;Physiology_or_Medicine;1922
Otto Fritz Meyerhof;male;Physiology_or_Medicine;1922
Carl E. Wieman;male;Physics;2001
Eric A. Cornell;male;Physics;2001
Wolfgang Ketterle;male;Physics;2001
Andrew V. Schally;male;Physiology_or_Medicine;1977
Rosalyn Yalow;female;Physiology_or_Medicine;1977
Roger Guillemin;male;Physiology_or_Medicine;1977
Barry J. Marshall;male;Physiology_or_Medicine;2005
J. Robin Warren;male;Physiology_or_Medicine;2005
Albert Fert;male;Physics;2007
Peter Grünberg;male;Physics;2007
Claude Simon;male;Literature;1985
Alfred Hermann Fried;male;Peace;1911
Tobias Michael Carel Asser;male;Peace;1911
Barry C. Barish;male;Physics;2017
Rainer Weiss;male;Physics;2017
Kip S. Thorne;male;Physics;2017
Barbara McClintock;female;Physiology_or_Medicine;1983
Camillo Golgi;male;Physiology_or_Medicine;1906
Santiago Ramón y Cajal;male;Physiology_or_Medicine;1906
Andrei Dmitrievich Sakharov;male;Peace;1975
André Lwoff;male;Physiology_or_Medicine;1965
Jacques Monod;male;Physiology_or_Medicine;1965
François Jacob;male;Physiology_or_Medicine;1965
Alfred Werner;male;Chemistry;1913
Christian de Duve;male;Physiology_or_Medicine;1974
Albert Claude;male;Physiology_or_Medicine;1974
George E. Palade;male;Physiology_or_Medicine;1974
Andrew Fielding Huxley;male;Physiology_or_Medicine;1963
Alan Lloyd Hodgkin;male;Physiology_or_Medicine;1963
Sir John Carew Eccles;male;Physiology_or_Medicine;1963
Arthur Henderson;male;Peace;1934
Aaron Klug;male;Chemistry;1982
Christopher A. Pissarides;male;Economic_Sciences;2010
Peter A. Diamond;male;Economic_Sciences;2010
Dale T. Mortensen;male;Economic_Sciences;2010
Adolf Otto Reinhold Windaus;male;Chemistry;1928
Allvar Gullstrand;male;Physiology_or_Medicine;1911
Antony Hewish;male;Physics;1974
Sir Martin Ryle;male;Physics;1974
Ahmed H. Zewail;male;Chemistry;1999
Alfred D. Hershey;male;Physiology_or_Medicine;1969
Max Delbrück;male;Physiology_or_Medicine;1969
Salvador E. Luria;male;Physiology_or_Medicine;1969
Alfonso García Robles;male;Peace;1982
Alva Myrdal;female;Peace;1982
Carlo Rubbia;male;Physics;1984
Simon van der Meer;male;Physics;1984
Carlos Filipe Ximenes Belo;male;Peace;1996
José Ramos-Horta;male;Peace;1996
Albert Camus;male;Literature;1957
Bob Dylan;male;Literature;2016
Brian David Josephson;male;Physics;1973
Leo Esaki;male;Physics;1973
Ivar Giaever;male;Physics;1973
Charles J. Pedersen;male;Chemistry;1987
Jean-Marie Lehn;male;Chemistry;1987
Donald J. Cram;male;Chemistry;1987
Aaron Ciechanover;male;Chemistry;2004
Avram Hershko;male;Chemistry;2004
Irwin Rose;male;Chemistry;2004
Carol W. Greider;female;Physiology_or_Medicine;2009
Elizabeth H. Blackburn;female;Physiology_or_Medicine;2009
Jack W. Szostak;male;Physiology_or_Medicine;2009
Ada E. Yonath;female;Chemistry;2009
Venkatraman Ramakrishnan;male;Chemistry;2009
Thomas A. Steitz;male;Chemistry;2009
César Milstein;male;Physiology_or_Medicine;1984
Georges J.F. Köhler;male;Physiology_or_Medicine;1984
Niels K. Jerne;male;Physiology_or_Medicine;1984
Charles Louis Alphonse Laveran;male;Physiology_or_Medicine;1907
Arthur Kornberg;male;Physiology_or_Medicine;1959
Severo Ochoa;male;Physiology_or_Medicine;1959
Cecil Frank Powell;male;Physics;1950
Christiane Nüsslein-Volhard;female;Physiology_or_Medicine;1995
Edward B. Lewis;male;Physiology_or_Medicine;1995
Eric F. Wieschaus;male;Physiology_or_Medicine;1995
Bruce A. Beutler;male;Physiology_or_Medicine;2011
Jules A. Hoffmann;male;Physiology_or_Medicine;2011
Ralph M. Steinman;male;Physiology_or_Medicine;2011
Abiy Ahmed Ali;male;Peace;2019
Schack August Steenberg Krogh;male;Physiology_or_Medicine;1920
Arvid Carlsson;male;Physiology_or_Medicine;2000
Eric R. Kandel;male;Physiology_or_Medicine;2000
Paul Greengard;male;Physiology_or_Medicine;2000
André Frédéric Cournand;male;Physiology_or_Medicine;1956
Dickinson W. Richards;male;Physiology_or_Medicine;1956
Werner Forssmann;male;Physiology_or_Medicine;1956
Alan G. MacDiarmid;male;Chemistry;2000
Alan J. Heeger;male;Chemistry;2000
Hideki Shirakawa;male;Chemistry;2000
Brian K. Kobilka;male;Chemistry;2012
Robert J. Lefkowitz;male;Chemistry;2012
Charles M. Rice;male;Physiology_or_Medicine;2020
Michael Houghton;male;Physiology_or_Medicine;2020
Harvey J. Alter;male;Physiology_or_Medicine;2020
Robert Bruce Merrifield;male;Chemistry;1984
Akira Suzuki;male;Chemistry;2010
Ei-ichi Negishi;male;Chemistry;2010
Richard F. Heck;male;Chemistry;2010
Christopher A. Sims;male;Economic_Sciences;2011
Thomas J. Sargent;male;Economic_Sciences;2011
Bengt Holmström;male;Economic_Sciences;2016
Oliver Hart;male;Economic_Sciences;2016
Adolf Friedrich Johann Butenandt;male;Chemistry;1939
Leopold Ruzicka;male;Chemistry;1939
Abdus Salam;male;Physics;1979
Sheldon Lee Glashow;male;Physics;1979
Steven Weinberg;male;Physics;1979
Albrecht Kossel;male;Physiology_or_Medicine;1910
Antoine Henri Becquerel;male;Physics;1903
Marie Curie, née Sklodowska;female;Physics;1903
Pierre Curie;male;Physics;1903
Baruch S. Blumberg;male;Physiology_or_Medicine;1976
D. Carleton Gajdusek;male;Physiology_or_Medicine;1976
Carl Friedrich Georg Spitteler;male;Literature;1919
Bernard L. Feringa;male;Chemistry;2016
Sir J. Fraser Stoddart;male;Chemistry;2016
Jean-Pierre Sauvage;male;Chemistry;2016
Camilo José Cela;male;Literature;1989
Christian Lous Lange;male;Peace;1921
Karl Hjalmar Branting;male;Peace;1921
Claude Cohen-Tannoudji;male;Physics;1997
Steven Chu;male;Physics;1997
William D. Phillips;male;Physics;1997
Akira Yoshino;male;Chemistry;2019
John B. Goodenough;male;Chemistry;2019
M. Stanley Whittingham;male;Chemistry;2019
Bjørnstjerne Martinus Bjørnson;male;Literature;1903
Carlos Saavedra Lamas;male;Peace;1936
Boris Leonidovich Pasternak;male;Literature;1958
Andrew Z. Fire;male;Physiology_or_Medicine;2006
Craig C. Mello;male;Physiology_or_Medicine;2006
K. Barry Sharpless;male;Chemistry;2001
Ryoji Noyori;male;Chemistry;2001
William S. Knowles;male;Chemistry;2001
Johann Friedrich Wilhelm Adolf von Baeyer;male;Chemistry;1905
Carl David Anderson;male;Physics;1936
Victor Franz Hess;male;Physics;1936
Allan M. Cormack;male;Physiology_or_Medicine;1979
Godfrey N. Hounsfield;male;Physiology_or_Medicine;1979
Charles Gates Dawes;male;Peace;1925
Sir Austen Chamberlain;male;Peace;1925
Aziz Sancar;male;Chemistry;2015
Tomas Lindahl;male;Chemistry;2015
Paul Modrich;male;Chemistry;2015
Wilhelm Conrad Röntgen;male;Physics;1901
Alice Munro;female;Literature;2013
Arthur B. McDonald;male;Physics;2015
Takaaki Kajita;male;Physics;2015
Arthur Leonard Schawlow;male;Physics;1981
Kai M. Siegbahn;male;Physics;1981
Nicolaas Bloembergen;male;Physics;1981
Charles Kuen Kao;male;Physics;2009
Willard S. Boyle;male;Physics;2009
George E. Smith;male;Physics;2009
Bengt I. Samuelsson;male;Physiology_or_Medicine;1982
John R. Vane;male;Physiology_or_Medicine;1982
Sune K. Bergström;male;Physiology_or_Medicine;1982
Chen Ning Yang;male;Physics;1957
Tsung-Dao (T.D.) Lee;male;Physics;1957
Aleksandr Isayevich Solzhenitsyn;male;Literature;1970
Christiaan Eijkman;male;Physiology_or_Medicine;1929
Sir Frederick Gowland Hopkins;male;Physiology_or_Medicine;1929
Carl Bosch;male;Chemistry;1931
Friedrich Bergius;male;Chemistry;1931
Albert John Lutuli;male;Peace;1960
Albert von Szent-Györgyi Nagyrápolt;male;Physiology_or_Medicine;1937
Anatole France;male;Literature;1921
