_name,planet_status,mass,radius,orbital_period,semi_major_axis,eccentricity,IST
earth,,0.0031466807165437304,0.08983291549295774,365.25,1.0,0.0167,1.0
Kepler-1081 b,Confirmed,,0.09,3.85691855,,,0.9990708902951151
Kepler-398 c,Confirmed,,0.09,11.419412,0.087,,0.9990708902951151
Kepler-1278 b,Confirmed,,0.09,3.23941344,,,0.9990708902951151
Kepler-595 c,Confirmed,0.01038,0.09,12.38602,,,0.9990708902951151
K2-32 e,Confirmed,0.0066,0.09,4.34882,0.04951,0.043,0.9990708902951151
Kepler-282 b,Confirmed,,0.09,9.220524,0.082,,0.9990708902951151
Kepler-1482 b,Confirmed,,0.09,12.25383217,,,0.9990708902951151
K2-72 d,Confirmed,,0.09,7.760178,0.05,0.11,0.9990708902951151
K2-85 b,Confirmed,,0.09,0.684533,0.01263,,0.9990708902951151
Kepler-322 b,Confirmed,,0.09,1.653888,0.027,,0.9990708902951151
TOI-700 b,Confirmed,0.00406,0.0901,9.97701,0.0637,0.032,0.99851564397592
Kepler-1417 b,Confirmed,,0.089,20.3505213,,,0.9953424933510602
EPIC 201833600 c,Confirmed,,0.089,3.96151,,,0.9953424933510602
K2-239 c,Confirmed,0.0028,0.089,7.775,0.0576,,0.9953424933510602
Kepler-1464 c,Confirmed,,0.089,5.32786292,,,0.9953424933510602
Kepler-392 b,Confirmed,,0.089,5.341853,0.059,,0.9953424933510602
Kepler-20 f,Confirmed,0.045,0.089,19.57758478,0.1396,,0.9953424933510602
Kepler-1616 b,Confirmed,,0.091,6.76284377,,,0.993546061546037
Kepler-1649 b,Confirmed,,0.091,8.689099,0.0514,,0.993546061546037
Kepler-336 b,Confirmed,,0.091,2.024823,0.033,,0.993546061546037
Kepler-130 b,Confirmed,,0.091,8.457458,0.079,0.15,0.993546061546037
Kepler-1150 b,Confirmed,,0.091,2.78786839,,,0.993546061546037
Kepler-192 d,Confirmed,,0.091,6.47027579,,,0.993546061546037
Kepler-197 b,Confirmed,,0.091,5.599308,0.06,0.02,0.993546061546037
K2-136 b,Confirmed,,0.088,7.975292,,0.1,0.9896930470499409
Kepler-381 b,Confirmed,,0.088,5.629021,0.066,,0.9896930470499409
Kepler-1047 c,Confirmed,,0.088,3.18897601,,,0.9896930470499409
Kepler-969 c,Confirmed,,0.088,1.6829346,,,0.9896930470499409
Kepler-374 b,Confirmed,,0.092,1.897806,0.029,,0.9880820009888354
Kepler-327 c,Confirmed,,0.092,5.212333,0.047,,0.9880820009888354
Kepler-395 b,Confirmed,,0.092,7.054346,0.061,,0.9880820009888354
Kepler-387 b,Confirmed,,0.092,6.791636,0.068,,0.9880820009888354
Kepler-1347 b,Confirmed,,0.092,14.00947528,,,0.9880820009888354
Kepler-1163 b,Confirmed,,0.092,6.11786898,,,0.9880820009888354
Kepler-1398 c,Confirmed,,0.092,4.13827595,,,0.9880820009888354
Kepler-1612 b,Confirmed,,0.092,3.91795101,,,0.9880820009888354
Kepler-1285 b,Confirmed,,0.087,14.7967458,,,0.9839797048809583
Kepler-1053 b,Confirmed,,0.087,2.41435165,,,0.9839797048809583
Kepler-1328 b,Confirmed,,0.087,4.52158888,,,0.9839797048809583
Kepler-1293 b,Confirmed,,0.087,5.57654784,,,0.9839797048809583
Kepler-1443 b,Confirmed,,0.087,2.41811321,,,0.9839797048809583
Kepler-1297 b,Confirmed,,0.087,1.68189002,,,0.9839797048809583
Kepler-220 d,Confirmed,,0.087,28.122397,0.163,,0.9839797048809583
Kepler-1409 b,Confirmed,,0.093,0.76486493,,,0.9826777115132519
Kepler-1576 b,Confirmed,,0.093,6.98471973,,,0.9826777115132519
Kepler-1578 b,Confirmed,,0.093,1.45088691,,,0.9826777115132519
EPIC 201841433 b,Confirmed,,0.093,4.1698,0.035,,0.9826777115132519
K2-129 b,Confirmed,,0.093,8.239493,0.057,0.13,0.9826777115132519
TRAPPIST-1 f,Confirmed,0.0021,0.09323,9.20669,0.0371,0.0,0.9814430765625333
EPIC 201170410 b,Confirmed,,0.09341,6.7987,0.0349,0.0,0.9804790024355418
EPIC 206317286 b,Confirmed,,0.086,1.58252,,,0.9782013766750557
Kepler-1445 b,Confirmed,,0.086,10.60052251,,,0.9782013766750557
Kepler-399 b,Confirmed,,0.086,14.425281,0.103,,0.9782013766750557
Kepler-524 c,Confirmed,,0.086,1.88897906,,,0.9782013766750557
Kepler-1650 b,Confirmed,,0.086,1.53818001,0.0163,0.01,0.9782013766750557
Kepler-163 b,Confirmed,,0.094,7.810937,0.078,,0.9773322177050394
Kepler-1376 b,Confirmed,,0.094,5.30880656,,,0.9773322177050394
Kepler-625 c,Confirmed,,0.094,4.1653651,,,0.9773322177050394
K2-157 b,Confirmed,,0.094,0.365257,,,0.9773322177050394
Kepler-1331 b,Confirmed,,0.094,0.78916165,,,0.9773322177050394
TRAPPIST-1 c,Confirmed,0.00434,0.09421,2.4218233,0.01521,0.0,0.9762170442947056
KOI-2700 b,Confirmed,0.00271,0.0946,0.910022,,,0.9741527454885118
K2-315 b,Confirmed,,0.085,3.1443189,0.0234,,0.972356947321213
