BJD,FLUX,ERRFLUX,AIRMASS,SKY
    389.040034, 0.999361, 0.001237, 1.122,  358.
    389.040128, 1.003442, 0.001246, 1.122,  358.
    389.040224, 0.998057, 0.001251, 1.122,  361.
    389.040318, 0.997644, 0.001243, 1.122,  356.
    389.040414, 1.002420, 0.001243, 1.122,  352.
    389.040509, 0.998225, 0.001266, 1.122,  344.
    389.040604, 1.002234, 0.001262, 1.122,  345.
    389.040700, 1.000505, 0.001260, 1.123,  346.
    389.040796, 1.003687, 0.001304, 1.123,  346.
    389.040893, 0.991936, 0.001284, 1.123,  342.
    389.040989, 1.003629, 0.001296, 1.123,  343.
    389.041085, 0.996188, 0.001249, 1.123,  336.
    389.041181, 0.998202, 0.001288, 1.123,  337.
    389.041277, 0.999550, 0.001277, 1.123,  333.
    389.041372, 0.999487, 0.001264, 1.123,  335.
    389.041468, 1.002510, 0.001254, 1.123,  330.
    389.041563, 0.998002, 0.001267, 1.123,  330.
    389.041658, 0.997487, 0.001248, 1.123,  326.
    389.041754, 1.002627, 0.001269, 1.123,  324.
    389.041850, 1.004409, 0.001372, 1.124,  323.
    389.041946, 0.996448, 0.001302, 1.124,  334.
    389.042043, 1.004793, 0.001301, 1.124,  330.
    389.042139, 1.001683, 0.001295, 1.124,  337.
    389.042234, 1.002782, 0.001277, 1.124,  328.
    389.042330, 1.002888, 0.001282, 1.124,  329.
    389.042426, 1.000516, 0.001251, 1.124,  321.
    389.042522, 0.997229, 0.001255, 1.124,  314.
    389.042618, 1.001662, 0.001262, 1.124,  318.
    389.042715, 0.999718, 0.001262, 1.124,  317.
    389.042810, 0.998607, 0.001268, 1.124,  314.
    389.042906, 1.000238, 0.001255, 1.124,  310.
    389.043002, 1.001361, 0.001258, 1.125,  307.
    389.043099, 1.001696, 0.001266, 1.125,  307.
    389.043195, 1.001055, 0.001260, 1.125,  303.
    389.043290, 1.000919, 0.001252, 1.125,  296.
    389.043387, 0.995434, 0.001242, 1.125,  301.
    389.043483, 0.995285, 0.001257, 1.125,  297.
    389.043579, 1.002601, 0.001257, 1.125,  304.
    389.043676, 1.004357, 0.001270, 1.125,  302.
    389.043772, 0.998727, 0.001257, 1.125,  300.
    389.043868, 0.998416, 0.001291, 1.125,  299.
    389.043964, 0.999751, 0.001284, 1.125,  292.
    389.044060, 1.000653, 0.001265, 1.125,  299.
    389.044156, 1.006045, 0.001261, 1.126,  295.
    389.044252, 0.999638, 0.001263, 1.126,  299.
    389.044348, 0.995914, 0.001264, 1.126,  294.
    389.044444, 0.998311, 0.001251, 1.126,  283.
    389.044540, 0.998836, 0.001248, 1.126,  280.
    389.044636, 1.001039, 0.001257, 1.126,  280.
    389.044732, 0.998762, 0.001247, 1.126,  281.
    389.044828, 0.997536, 0.001239, 1.126,  280.
    389.044924, 0.997423, 0.001238, 1.126,  279.
    389.045021, 1.002421, 0.001246, 1.126,  272.
    389.045117, 0.997540, 0.001249, 1.126,  279.
    389.045213, 1.000966, 0.001257, 1.126,  285.
    389.045309, 1.000729, 0.001266, 1.127,  282.
    389.045405, 1.000422, 0.001261, 1.127,  281.
    389.045501, 1.001199, 0.001264, 1.127,  277.
    389.045597, 1.001145, 0.001255, 1.127,  282.
    389.045693, 1.002524, 0.001258, 1.127,  280.
    389.045789, 1.003325, 0.001254, 1.127,  282.
    389.045884, 0.998174, 0.001253, 1.127,  272.
    389.045980, 0.998475, 0.001244, 1.127,  265.
    389.046076, 0.997933, 0.001249, 1.127,  272.
    389.046172, 1.001898, 0.001247, 1.127,  268.
    389.046268, 0.998841, 0.001244, 1.127,  265.
    389.046364, 1.005297, 0.001250, 1.127,  260.
    389.046460, 0.995772, 0.001233, 1.128,  258.
    389.046555, 1.000277, 0.001239, 1.128,  255.
    389.046651, 0.999435, 0.001240, 1.128,  256.
    389.046747, 1.000965, 0.001249, 1.128,  252.
    389.046844, 0.999410, 0.001241, 1.128,  251.
    389.046940, 0.996916, 0.001234, 1.128,  253.
    389.047036, 0.998166, 0.001232, 1.128,  252.
    389.047133, 1.001832, 0.001241, 1.128,  250.
    389.047229, 0.998820, 0.001242, 1.128,  249.
    389.047325, 0.999880, 0.001239, 1.128,  244.
    389.047420, 0.998371, 0.001237, 1.128,  241.
    389.047517, 0.998792, 0.001251, 1.129,  245.
    389.047613, 1.002229, 0.001252, 1.129,  252.
    389.047709, 0.997879, 0.001248, 1.129,  242.
    389.047805, 0.998980, 0.001261, 1.129,  241.
    389.047901, 1.002110, 0.001260, 1.129,  243.
    389.047997, 0.996762, 0.001241, 1.129,  243.
    389.048094, 0.997913, 0.001241, 1.129,  240.
    389.048189, 0.999193, 0.001241, 1.129,  238.
    389.048286, 1.000162, 0.001239, 1.129,  237.
    389.048382, 0.998785, 0.001235, 1.129,  234.
    389.048477, 0.998575, 0.001231, 1.129,  235.
    389.048574, 0.998104, 0.001236, 1.129,  233.
    389.048670, 0.996630, 0.001241, 1.130,  232.
    389.048766, 1.001548, 0.001239, 1.130,  231.
    389.048862, 1.003087, 0.001238, 1.130,  230.
    389.048958, 1.001051, 0.001235, 1.130,  229.
    389.049055, 0.995526, 0.001233, 1.130,  229.
    389.049151, 1.001743, 0.001235, 1.130,  225.
    389.049247, 0.997672, 0.001242, 1.130,  225.
    389.049343, 1.000595, 0.001236, 1.130,  226.
    389.049439, 1.000997, 0.001239, 1.130,  220.
    389.049535, 0.998113, 0.001238, 1.130,  220.
    389.049631, 1.002793, 0.001237, 1.130,  222.
    389.049727, 1.002202, 0.001234, 1.131,  222.
    389.049823, 1.002419, 0.001239, 1.131,  220.
    389.049919, 1.000212, 0.001236, 1.131,  222.
    389.050015, 0.998386, 0.001233, 1.131,  217.
    389.050111, 0.999827, 0.001234, 1.131,  214.
    389.050207, 0.998635, 0.001231, 1.131,  218.
    389.050303, 1.001982, 0.001236, 1.131,  215.
    389.050399, 0.999022, 0.001235, 1.131,  212.
    389.050495, 1.000085, 0.001236, 1.131,  212.
    389.050591, 1.000496, 0.001233, 1.131,  211.
    389.050687, 0.999907, 0.001236, 1.131,  213.
    389.050783, 0.998469, 0.001232, 1.132,  209.
    389.050879, 0.997200, 0.001232, 1.132,  211.
    389.050975, 1.000823, 0.001236, 1.132,  210.
    389.051071, 0.998782, 0.001232, 1.132,  210.
    389.051169, 1.000879, 0.001235, 1.132,  211.
    389.051264, 1.006280, 0.001236, 1.132,  206.
    389.051360, 1.002561, 0.001238, 1.132,  207.
    389.051457, 1.001362, 0.001233, 1.132,  204.
    389.051553, 1.001919, 0.001237, 1.132,  208.
    389.051649, 0.995276, 0.001231, 1.132,  207.
    389.051745, 1.000285, 0.001235, 1.132,  206.
    389.051841, 1.002722, 0.001237, 1.133,  204.
    389.051937, 0.994831, 0.001232, 1.133,  204.
    389.052033, 0.995727, 0.001232, 1.133,  200.
    389.052129, 1.004085, 0.001235, 1.133,  199.
    389.052225, 0.997267, 0.001231, 1.133,  202.
    389.052321, 1.001975, 0.001235, 1.133,  199.
    389.052417, 0.999443, 0.001231, 1.133,  201.
    389.052513, 0.998611, 0.001237, 1.133,  203.
    389.052609, 0.998735, 0.001232, 1.133,  202.
    389.052706, 0.999153, 0.001233, 1.133,  199.
    389.052802, 1.000765, 0.001233, 1.133,  197.
    389.052898, 0.999625, 0.001232, 1.133,  199.
    389.052994, 0.998504, 0.001232, 1.134,  200.
    389.053091, 0.996762, 0.001232, 1.134,  195.
    389.053187, 0.999602, 0.001231, 1.134,  196.
    389.053284, 0.999388, 0.001230, 1.134,  194.
    389.053380, 0.999176, 0.001232, 1.134,  196.
    389.053477, 1.002843, 0.001240, 1.134,  194.
    389.053573, 0.994969, 0.001232, 1.134,  192.
    389.053669, 1.003686, 0.001237, 1.134,  195.
    389.053765, 1.000227, 0.001236, 1.134,  188.
    389.053861, 1.002084, 0.001236, 1.134,  191.
    389.053957, 0.998154, 0.001231, 1.134,  190.
    389.054052, 1.001626, 0.001231, 1.135,  187.
    389.054147, 0.994011, 0.001232, 1.135,  190.
    389.054241, 0.999595, 0.001233, 1.135,  189.
    389.054337, 0.999594, 0.001235, 1.135,  188.
    389.054432, 1.002119, 0.001237, 1.135,  188.
    389.054527, 1.000301, 0.001232, 1.135,  187.
    389.054622, 0.999747, 0.001234, 1.135,  182.
    389.054718, 0.999772, 0.001235, 1.135,  185.
    389.054814, 1.002927, 0.001237, 1.135,  184.
    389.054909, 1.001162, 0.001234, 1.135,  183.
    389.055005, 1.003605, 0.001233, 1.135,  183.
    389.055101, 1.000198, 0.001231, 1.136,  184.
    389.055197, 1.000148, 0.001237, 1.136,  181.
    389.055293, 1.003417, 0.001239, 1.136,  183.
    389.055389, 1.002052, 0.001237, 1.136,  183.
    389.055484, 0.998538, 0.001233, 1.136,  181.
    389.055580, 1.004716, 0.001238, 1.136,  179.
    389.055676, 0.998272, 0.001231, 1.136,  179.
    389.055772, 1.001380, 0.001233, 1.136,  182.
    389.055868, 1.005226, 0.001232, 1.136,  176.
    389.055964, 1.005191, 0.001233, 1.136,  178.
    389.056060, 1.001532, 0.001230, 1.136,  175.
    389.056156, 0.998049, 0.001227, 1.137,  178.
    389.056252, 1.001393, 0.001235, 1.137,  177.
    389.056348, 0.998123, 0.001231, 1.137,  176.
    389.056444, 1.000884, 0.001233, 1.137,  177.
    389.056539, 0.999181, 0.001234, 1.137,  176.
    389.056635, 0.998071, 0.001236, 1.137,  175.
    389.056730, 1.000445, 0.001233, 1.137,  176.
    389.056826, 1.002885, 0.001234, 1.137,  170.
    389.056922, 1.002048, 0.001238, 1.137,  174.
    389.057018, 0.995410, 0.001230, 1.137,  173.
    389.057114, 1.000314, 0.001232, 1.137,  169.
    389.057209, 0.999197, 0.001232, 1.138,  173.
    389.057305, 0.997338, 0.001231, 1.138,  168.
    389.057401, 0.999060, 0.001232, 1.138,  170.
    389.057497, 0.999734, 0.001231, 1.138,  171.
    389.057593, 1.002142, 0.001233, 1.138,  168.
    389.057688, 0.999970, 0.001234, 1.138,  168.
    389.057784, 1.005916, 0.001237, 1.138,  167.
    389.057880, 0.999590, 0.001236, 1.138,  168.
    389.057976, 1.002853, 0.001234, 1.138,  166.
    389.058167, 1.001181, 0.001231, 1.139,  166.
    389.058263, 0.999127, 0.001232, 1.139,  165.
    389.058359, 1.003438, 0.001235, 1.139,  163.
    389.058455, 0.997618, 0.001230, 1.139,  162.
    389.058551, 0.999451, 0.001231, 1.139,  161.
    389.058647, 1.002164, 0.001232, 1.139,  162.
    389.058743, 0.999971, 0.001231, 1.139,  162.
    389.058839, 0.997374, 0.001229, 1.139,  161.
    389.058934, 1.001002, 0.001234, 1.139,  159.
    389.059126, 1.003978, 0.001236, 1.139,  159.
    389.059222, 0.999452, 0.001231, 1.140,  158.
    389.059318, 0.998558, 0.001234, 1.140,  159.
    389.059414, 1.003884, 0.001235, 1.140,  159.
    389.059509, 1.001911, 0.001239, 1.140,  155.
    389.059605, 1.000085, 0.001238, 1.140,  158.
    389.059701, 0.995677, 0.001231, 1.140,  159.
    389.059798, 1.003749, 0.001238, 1.140,  158.
    389.059894, 1.001754, 0.001231, 1.140,  153.
    389.059989, 0.991817, 0.001230, 1.140,  153.
    389.060086, 1.003977, 0.001230, 1.140,  157.
    389.060181, 0.999457, 0.001230, 1.140,  157.
    389.060277, 1.001747, 0.001235, 1.141,  151.
    389.060373, 1.001725, 0.001230, 1.141,  150.
    389.060468, 1.001832, 0.001230, 1.141,  152.
    389.060563, 1.003813, 0.001237, 1.141,  158.
    389.060659, 1.000341, 0.001236, 1.141,  151.
    389.060755, 1.000749, 0.001236, 1.141,  152.
    389.060851, 1.003125, 0.001237, 1.141,  152.
    389.060947, 0.998961, 0.001242, 1.141,  151.
    389.061042, 1.003318, 0.001237, 1.141,  151.
    389.061138, 1.000664, 0.001237, 1.141,  151.
    389.061234, 1.001955, 0.001235, 1.142,  151.
    389.061329, 1.001342, 0.001239, 1.142,  149.
    389.061425, 0.995918, 0.001229, 1.142,  147.
    389.061521, 1.003334, 0.001241, 1.142,  152.
    389.061616, 1.002901, 0.001239, 1.142,  150.
    389.061712, 0.998872, 0.001231, 1.142,  149.
    389.061808, 1.001042, 0.001231, 1.142,  147.
    389.061904, 0.997686, 0.001230, 1.142,  146.
    389.062000, 1.000738, 0.001234, 1.142,  149.
    389.062096, 1.000638, 0.001237, 1.142,  148.
    389.062192, 1.001344, 0.001235, 1.142,  145.
    389.062288, 1.001413, 0.001233, 1.143,  146.
    389.062383, 1.002139, 0.001242, 1.143,  148.
    389.062479, 1.001375, 0.001236, 1.143,  144.
    389.062575, 0.999353, 0.001230, 1.143,  148.
    389.062671, 0.997193, 0.001232, 1.143,  146.
    389.062767, 0.998342, 0.001231, 1.143,  143.
    389.062862, 0.998774, 0.001229, 1.143,  143.
    389.062958, 0.999436, 0.001238, 1.143,  141.
    389.063054, 1.002181, 0.001238, 1.143,  145.
    389.063150, 0.995041, 0.001237, 1.143,  140.
    389.063246, 0.999417, 0.001236, 1.144,  142.
    389.063342, 1.003927, 0.001238, 1.144,  141.
    389.063438, 0.999403, 0.001236, 1.144,  141.
    389.063534, 0.999632, 0.001239, 1.144,  141.
    389.063630, 1.003800, 0.001240, 1.144,  141.
    389.063726, 0.998286, 0.001231, 1.144,  136.
    389.063822, 0.999347, 0.001233, 1.144,  140.
    389.063917, 0.995762, 0.001231, 1.144,  139.
    389.064013, 0.992505, 0.001229, 1.144,  139.
    389.064109, 1.003358, 0.001238, 1.144,  138.
    389.064205, 1.003460, 0.001241, 1.144,  138.
    389.064301, 1.000380, 0.001232, 1.145,  135.
    389.064397, 0.998139, 0.001230, 1.145,  133.
    389.064492, 0.996844, 0.001237, 1.145,  136.
    389.064587, 1.000675, 0.001234, 1.145,  133.
    389.064683, 0.996966, 0.001232, 1.145,  133.
    389.064779, 1.001152, 0.001236, 1.145,  135.
    389.064875, 1.000493, 0.001233, 1.145,  133.
    389.064971, 0.999918, 0.001238, 1.145,  136.
    389.065067, 1.003173, 0.001238, 1.145,  132.
    389.065163, 0.996806, 0.001232, 1.145,  134.
    389.065258, 0.998310, 0.001232, 1.146,  133.
    389.065354, 1.001022, 0.001234, 1.146,  133.
    389.065450, 1.001103, 0.001239, 1.146,  134.
    389.065546, 1.003258, 0.001238, 1.146,  133.
    389.065642, 0.999023, 0.001241, 1.146,  132.
    389.065738, 1.002711, 0.001240, 1.146,  132.
    389.065833, 1.001146, 0.001235, 1.146,  128.
    389.065929, 0.996212, 0.001233, 1.146,  130.
    389.066025, 1.001157, 0.001244, 1.146,  130.
    389.066121, 1.003384, 0.001238, 1.146,  133.
    389.066216, 0.997359, 0.001235, 1.146,  128.
    389.066312, 1.000115, 0.001232, 1.147,  128.
    389.066408, 1.000724, 0.001236, 1.147,  128.
    389.066504, 1.001387, 0.001237, 1.147,  130.
    389.066600, 1.000274, 0.001243, 1.147,  128.
    389.066695, 0.999811, 0.001239, 1.147,  131.
    389.066790, 0.999280, 0.001247, 1.147,  127.
    389.066886, 1.000053, 0.001259, 1.147,  130.
    389.066981, 1.001777, 0.001247, 1.147,  129.
    389.067078, 1.000170, 0.001244, 1.147,  127.
    389.067174, 0.999885, 0.001255, 1.147,  132.
    389.067269, 1.000387, 0.001253, 1.148,  131.
    389.067365, 1.004494, 0.001244, 1.148,  127.
    389.067461, 0.999894, 0.001245, 1.148,  125.
    389.067557, 1.001104, 0.001242, 1.148,  127.
    389.067652, 1.004292, 0.001249, 1.148,  128.
    389.067748, 1.001239, 0.001235, 1.148,  127.
    389.067844, 0.998150, 0.001234, 1.148,  126.
    389.067940, 1.003922, 0.001237, 1.148,  125.
    389.068036, 1.004671, 0.001243, 1.148,  125.
    389.068132, 1.001677, 0.001237, 1.148,  125.
    389.068228, 0.997304, 0.001232, 1.149,  126.
    389.068324, 1.000650, 0.001234, 1.149,  125.
    389.068420, 0.995092, 0.001233, 1.149,  125.
    389.068516, 0.998332, 0.001239, 1.149,  125.
    389.068612, 0.998531, 0.001247, 1.149,  122.
    389.068708, 0.998838, 0.001239, 1.149,  123.
    389.068804, 1.001780, 0.001242, 1.149,  125.
    389.068899, 1.002989, 0.001255, 1.149,  120.
    389.068996, 1.000096, 0.001253, 1.149,  123.
    389.069092, 0.999951, 0.001241, 1.149,  119.
    389.069188, 1.002597, 0.001239, 1.150,  121.
    389.069282, 1.002525, 0.001235, 1.150,  120.
    389.069474, 0.998470, 0.001236, 1.150,  122.
    389.069570, 1.001883, 0.001244, 1.150,  122.
    389.069666, 1.000171, 0.001263, 1.150,  122.
    389.069762, 1.002725, 0.001258, 1.150,  120.
    389.069858, 0.998872, 0.001251, 1.150,  120.
    389.069954, 1.003531, 0.001243, 1.150,  117.
    389.070050, 1.001903, 0.001242, 1.150,  119.
    389.070146, 0.996973, 0.001241, 1.151,  120.
    389.070242, 0.998414, 0.001236, 1.151,  120.
    389.070337, 1.001869, 0.001236, 1.151,  116.
    389.070433, 1.000973, 0.001240, 1.151,  116.
    389.070529, 0.996985, 0.001238, 1.151,  118.
    389.070624, 1.002321, 0.001243, 1.151,  117.
    389.070721, 1.003865, 0.001236, 1.151,  118.
    389.070817, 1.003575, 0.001243, 1.151,  117.
    389.070913, 0.999119, 0.001239, 1.151,  119.
    389.071009, 1.002903, 0.001241, 1.151,  117.
    389.071105, 1.002141, 0.001238, 1.152,  115.
    389.071201, 0.998230, 0.001237, 1.152,  115.
    389.071297, 1.001645, 0.001258, 1.152,  115.
    389.071393, 0.999361, 0.001242, 1.152,  115.
    389.071488, 1.000150, 0.001246, 1.152,  115.
    389.071583, 1.002555, 0.001241, 1.152,  115.
    389.071679, 1.002421, 0.001243, 1.152,  117.
    389.071775, 0.998535, 0.001236, 1.152,  115.
    389.071871, 0.996844, 0.001235, 1.152,  118.
    389.071967, 1.004332, 0.001244, 1.152,  116.
    389.072063, 1.004956, 0.001238, 1.153,  114.
    389.072159, 0.999128, 0.001238, 1.153,  115.
    389.072255, 1.003771, 0.001243, 1.153,  115.
    389.072351, 1.000964, 0.001238, 1.153,  115.
    389.072447, 0.999641, 0.001239, 1.153,  116.
    389.072543, 1.000270, 0.001236, 1.153,  114.
    389.072639, 0.998961, 0.001239, 1.153,  115.
    389.072734, 0.998198, 0.001242, 1.153,  114.
    389.072830, 0.993365, 0.001237, 1.153,  115.
    389.072926, 1.000669, 0.001245, 1.153,  113.
    389.073023, 1.000578, 0.001242, 1.154,  112.
    389.073118, 1.002924, 0.001248, 1.154,  113.
    389.073214, 1.000042, 0.001245, 1.154,  114.
    389.073310, 0.999379, 0.001246, 1.154,  113.
    389.073406, 1.005897, 0.001245, 1.154,  113.
    389.073502, 0.998124, 0.001246, 1.154,  113.
    389.073598, 1.001804, 0.001243, 1.154,  113.
    389.073694, 1.000661, 0.001245, 1.154,  110.
    389.073790, 0.996134, 0.001238, 1.154,  111.
    389.073886, 1.002329, 0.001245, 1.154,  115.
    389.073982, 1.000859, 0.001245, 1.155,  112.
    389.074078, 1.000949, 0.001241, 1.155,  110.
    389.074174, 0.999434, 0.001241, 1.155,  109.
    389.074269, 0.996349, 0.001239, 1.155,  109.
    389.074365, 1.002623, 0.001241, 1.155,  110.
    389.074461, 1.001576, 0.001242, 1.155,  108.
    389.074557, 1.003369, 0.001244, 1.155,  110.
    389.074748, 0.999356, 0.001243, 1.155,  108.
    389.074940, 1.003115, 0.001251, 1.156,  107.
    389.075132, 1.000737, 0.001240, 1.156,  109.
