BJD,FLUX,ERRFLUX,AIRMASS,SKY
    119.240503, 0.999942, 0.001133, 1.505,  623.
    119.240902, 1.001040, 0.001139, 1.504,  620.
    119.241288, 1.001146, 0.001140, 1.504,  615.
    119.241672, 1.003931, 0.001141, 1.503,  610.
    119.242056, 1.001198, 0.001145, 1.502,  611.
    119.242441, 0.999989, 0.001140, 1.502,  616.
    119.242826, 0.998396, 0.001141, 1.501,  616.
    119.243212, 0.998231, 0.001148, 1.500,  614.
    119.243598, 1.001637, 0.001148, 1.499,  612.
    119.243983, 0.998280, 0.001148, 1.499,  615.
    119.244367, 0.999318, 0.001148, 1.498,  616.
    119.244753, 0.999283, 0.001143, 1.497,  619.
    119.245139, 1.000221, 0.001149, 1.497,  618.
    119.245524, 1.001127, 0.001148, 1.496,  614.
    119.245910, 1.002829, 0.001147, 1.495,  605.
    119.246295, 1.000370, 0.001143, 1.495,  601.
    119.246682, 1.000860, 0.001144, 1.494,  600.
    119.247068, 1.001059, 0.001150, 1.493,  606.
    119.247455, 1.001169, 0.001145, 1.492,  618.
    119.247839, 1.001298, 0.001145, 1.492,  630.
    119.248225, 1.000259, 0.001139, 1.491,  645.
    119.248610, 1.000002, 0.001137, 1.490,  659.
    119.248996, 1.000096, 0.001135, 1.490,  666.
    119.249382, 0.999621, 0.001136, 1.489,  667.
    119.249768, 1.000886, 0.001137, 1.488,  663.
    119.250153, 1.001284, 0.001141, 1.488,  659.
    119.250539, 1.000800, 0.001139, 1.487,  648.
    119.250924, 0.998288, 0.001137, 1.486,  641.
    119.251309, 1.003156, 0.001141, 1.485,  638.
    119.251695, 0.997869, 0.001137, 1.485,  636.
    119.252081, 1.003633, 0.001145, 1.484,  636.
    119.252465, 1.000894, 0.001143, 1.483,  648.
    119.252850, 1.001431, 0.001143, 1.483,  660.
    119.253237, 0.997722, 0.001139, 1.482,  671.
    119.253621, 1.001490, 0.001148, 1.481,  676.
    119.254008, 1.002702, 0.001189, 1.480,  677.
    119.254394, 1.003281, 0.001152, 1.480,  672.
    119.254779, 1.003825, 0.001143, 1.479,  673.
    119.255165, 1.000917, 0.001142, 1.478,  673.
    119.255552, 1.004152, 0.001144, 1.478,  673.
    119.255938, 1.000956, 0.001136, 1.477,  673.
    119.256324, 1.002229, 0.001135, 1.476,  674.
    119.256710, 1.002271, 0.001135, 1.475,  672.
    119.257096, 1.001622, 0.001141, 1.475,  667.
    119.257481, 1.003801, 0.001145, 1.474,  663.
    119.257868, 0.998932, 0.001135, 1.473,  670.
    119.258254, 0.999926, 0.001140, 1.473,  679.
    119.258640, 1.004532, 0.001143, 1.472,  686.
    119.259026, 1.003336, 0.001140, 1.471,  687.
    119.259410, 0.997441, 0.001132, 1.470,  686.
    119.259795, 1.004680, 0.001137, 1.470,  685.
    119.260181, 1.002875, 0.001142, 1.469,  687.
    119.260566, 0.997775, 0.001134, 1.468,  697.
    119.261725, 1.006147, 0.001196, 1.466,  710.
    119.262109, 1.003200, 0.001203, 1.465,  707.
    119.262881, 1.001759, 0.001132, 1.464,  695.
    119.263267, 0.995665, 0.001126, 1.463,  692.
    119.263652, 0.998227, 0.001125, 1.462,  693.
    119.264038, 0.999257, 0.001128, 1.462,  698.
    119.264424, 1.006329, 0.001139, 1.461,  706.
    119.265196, 1.001364, 0.001135, 1.460,  719.
    119.265582, 1.001490, 0.001149, 1.459,  719.
    119.265968, 1.008166, 0.001150, 1.458,  721.
    119.266354, 0.994660, 0.001139, 1.457,  722.
    119.266741, 1.003816, 0.001138, 1.457,  719.
    119.267127, 0.999595, 0.001147, 1.456,  715.
    119.268286, 0.994025, 0.001134, 1.454,  664.
    119.270601, 0.995938, 0.001153, 1.449,  650.
    119.272145, 0.997801, 0.001146, 1.447,  657.
    119.273689, 0.994133, 0.001151, 1.444,  653.
    119.274462, 1.003575, 0.001144, 1.442,  649.
    119.275234, 0.996082, 0.001152, 1.441,  657.
    119.275620, 1.004401, 0.001195, 1.440,  658.
    119.276004, 1.000613, 0.001152, 1.439,  654.
    119.276390, 0.994723, 0.001135, 1.439,  651.
    119.276776, 1.001384, 0.001133, 1.438,  647.
    119.277162, 0.998354, 0.001129, 1.437,  646.
    119.277548, 0.998600, 0.001138, 1.436,  650.
    119.277934, 0.999885, 0.001145, 1.436,  651.
    119.278320, 0.992306, 0.001145, 1.435,  651.
    119.278707, 1.004867, 0.001146, 1.434,  653.
    119.279477, 1.003577, 0.001142, 1.433,  664.
    119.279863, 0.999561, 0.001144, 1.432,  665.
    119.280635, 1.000485, 0.001136, 1.431,  656.
    119.281022, 0.998643, 0.001137, 1.430,  651.
    119.281409, 0.991440, 0.001135, 1.429,  649.
    119.281794, 1.005356, 0.001151, 1.428,  650.
    119.282566, 0.994485, 0.001141, 1.427,  660.
    119.282952, 0.999631, 0.001145, 1.426,  669.
    119.283337, 0.996101, 0.001153, 1.425,  675.
    119.284495, 0.994924, 0.001143, 1.423,  695.
    119.285267, 0.996802, 0.001139, 1.422,  696.
    119.285654, 1.002316, 0.001146, 1.421,  693.
    119.286424, 0.996353, 0.001146, 1.420,  684.
    119.287195, 0.995406, 0.001147, 1.418,  682.
    119.288353, 0.999133, 0.001154, 1.416,  706.
    119.288738, 0.996849, 0.001150, 1.415,  718.
    119.289125, 0.996011, 0.001145, 1.415,  727.
    119.289896, 0.991606, 0.001143, 1.413,  734.
    119.290284, 1.001043, 0.001141, 1.412,  735.
    119.290669, 0.997477, 0.001150, 1.412,  738.
    119.291056, 0.999458, 0.001146, 1.411,  736.
    119.291441, 0.997535, 0.001147, 1.410,  729.
    119.291827, 1.000497, 0.001139, 1.410,  717.
    119.292600, 0.999823, 0.001141, 1.408,  688.
    119.292984, 0.997440, 0.001147, 1.407,  682.
    119.293370, 1.000050, 0.001147, 1.407,  691.
    119.293757, 1.002596, 0.001140, 1.406,  708.
    119.294528, 0.997835, 0.001132, 1.404,  717.
    119.294914, 0.997738, 0.001132, 1.404,  706.
    119.295299, 0.995803, 0.001143, 1.403,  698.
    119.295684, 1.004717, 0.001140, 1.402,  698.
    119.296069, 0.998180, 0.001134, 1.402,  707.
    119.296456, 0.998880, 0.001134, 1.401,  716.
    119.297227, 0.996330, 0.001137, 1.399,  722.
    119.297613, 0.999844, 0.001137, 1.399,  715.
    119.297999, 0.999725, 0.001142, 1.398,  711.
    119.298385, 1.003043, 0.001147, 1.397,  710.
    119.298772, 1.006418, 0.001153, 1.396,  708.
    119.299544, 0.995314, 0.001140, 1.395,  693.
    119.299930, 0.994732, 0.001141, 1.394,  699.
    119.300316, 1.000376, 0.001143, 1.394,  698.
    119.300701, 0.999659, 0.001151, 1.393,  696.
    119.301087, 1.001787, 0.001153, 1.392,  691.
    119.301474, 0.997969, 0.001151, 1.391,  688.
    119.301860, 1.000078, 0.001153, 1.391,  681.
    119.302246, 0.997983, 0.001152, 1.390,  677.
    119.302631, 0.995486, 0.001146, 1.389,  672.
    119.303018, 0.999715, 0.001146, 1.389,  666.
    119.303789, 1.001909, 0.001145, 1.387,  658.
    119.304175, 0.996879, 0.001140, 1.386,  658.
    119.304561, 1.006452, 0.001150, 1.386,  662.
    119.304947, 0.998922, 0.001146, 1.385,  669.
    119.305333, 0.997589, 0.001147, 1.384,  673.
    119.305719, 0.998380, 0.001152, 1.384,  678.
    119.306104, 1.002275, 0.001158, 1.383,  676.
    119.306489, 0.995923, 0.001150, 1.382,  670.
    119.306875, 0.998603, 0.001148, 1.381,  662.
    119.307651, 1.002094, 0.001158, 1.380,  656.
    119.308040, 0.996967, 0.001153, 1.379,  658.
    119.308426, 0.995935, 0.001158, 1.379,  663.
    119.308812, 1.000157, 0.001172, 1.378,  663.
    119.309199, 1.002031, 0.001163, 1.377,  656.
    119.309585, 0.996804, 0.001144, 1.376,  649.
    119.309970, 0.999345, 0.001146, 1.376,  643.
    119.310356, 0.996158, 0.001149, 1.375,  643.
    119.310741, 0.998878, 0.001159, 1.374,  645.
    119.311127, 1.004186, 0.001161, 1.374,  651.
    119.311513, 1.005335, 0.001163, 1.373,  659.
    119.311898, 0.996470, 0.001158, 1.372,  667.
    119.312283, 0.998588, 0.001156, 1.371,  668.
    119.312669, 1.001331, 0.001155, 1.371,  669.
    119.313056, 0.998892, 0.001150, 1.370,  666.
    119.313442, 0.994538, 0.001146, 1.369,  663.
    119.313828, 0.998281, 0.001157, 1.369,  664.
    119.314214, 1.004834, 0.001160, 1.368,  666.
    119.314600, 1.002841, 0.001155, 1.367,  668.
    119.315758, 0.996778, 0.001145, 1.365,  666.
    119.316144, 0.998867, 0.001148, 1.364,  665.
    119.316529, 1.000935, 0.001153, 1.364,  664.
    119.316915, 1.000448, 0.001154, 1.363,  660.
    119.317302, 0.998737, 0.001164, 1.362,  659.
    119.317688, 1.001242, 0.001165, 1.362,  651.
    119.318074, 0.998747, 0.001189, 1.361,  650.
    119.318460, 1.000056, 0.001183, 1.360,  647.
    119.318848, 1.000253, 0.001158, 1.359,  640.
    119.319233, 0.998264, 0.001153, 1.359,  638.
    119.319619, 0.998544, 0.001159, 1.358,  632.
    119.320005, 1.000433, 0.001172, 1.357,  628.
    119.320776, 1.002158, 0.001156, 1.356,  606.
    119.321162, 1.000353, 0.001149, 1.355,  598.
    119.321548, 1.000596, 0.001146, 1.355,  593.
    119.321933, 0.998101, 0.001149, 1.354,  594.
    119.322320, 0.997237, 0.001167, 1.353,  602.
    119.322705, 1.000064, 0.001155, 1.352,  609.
    119.324250, 0.998443, 0.001159, 1.350,  623.
    119.324634, 0.997929, 0.001160, 1.349,  629.
    119.325019, 0.998686, 0.001161, 1.348,  634.
    119.325405, 0.999400, 0.001165, 1.348,  642.
    119.325790, 0.999841, 0.001174, 1.347,  656.
    119.326946, 0.997095, 0.001176, 1.345,  687.
    119.327332, 1.004376, 0.001175, 1.344,  691.
    119.327718, 1.001512, 0.001168, 1.343,  692.
    119.329643, 1.002774, 0.001166, 1.340,  682.
    119.330427, 0.998992, 0.001171, 1.339,  675.
    119.330814, 1.000672, 0.001162, 1.338,  671.
    119.331200, 1.002306, 0.001193, 1.337,  668.
    119.331586, 0.996517, 0.001155, 1.336,  670.
    119.331972, 1.003910, 0.001167, 1.336,  677.
    119.332359, 0.996047, 0.001160, 1.335,  682.
    119.332745, 0.998807, 0.001169, 1.334,  687.
    119.333131, 1.004431, 0.001162, 1.334,  690.
    119.333517, 0.999729, 0.001160, 1.333,  687.
    119.334289, 1.005451, 0.001181, 1.332,  678.
    119.335061, 0.999349, 0.001278, 1.330,  692.
    119.335449, 0.997655, 0.001189, 1.330,  695.
    119.335835, 0.998248, 0.001181, 1.329,  697.
    119.336222, 0.998684, 0.001225, 1.328,  704.
    119.336994, 1.002821, 0.001170, 1.327,  715.
    119.337378, 0.996803, 0.001177, 1.326,  720.
    119.337764, 0.999710, 0.001175, 1.326,  723.
    119.338150, 0.998149, 0.001178, 1.325,  726.
    119.338921, 0.997838, 0.001161, 1.324,  727.
    119.339308, 0.998403, 0.001167, 1.323,  718.
    119.339692, 1.003482, 0.001164, 1.322,  711.
    119.340080, 1.003596, 0.001170, 1.322,  700.
    119.340465, 0.991948, 0.001187, 1.321,  690.
    119.341237, 0.998514, 0.001167, 1.319,  682.
    119.341624, 1.005610, 0.001180, 1.319,  679.
    119.342011, 1.001696, 0.001184, 1.318,  677.
    119.343168, 0.999773, 0.001177, 1.316,  664.
    119.343555, 0.998920, 0.001173, 1.316,  661.
    119.343941, 0.997294, 0.001183, 1.315,  660.
    119.344327, 0.998118, 0.001191, 1.314,  656.
    119.344714, 0.997026, 0.001178, 1.313,  649.
    119.345099, 0.998084, 0.001172, 1.313,  640.
    119.345870, 0.998688, 0.001167, 1.312,  628.
    119.346256, 0.994769, 0.001159, 1.311,  625.
    119.346644, 0.993408, 0.001169, 1.310,  627.
    119.347029, 1.000703, 0.001162, 1.310,  626.
    119.347415, 0.999547, 0.001161, 1.309,  624.
    119.347801, 0.995216, 0.001188, 1.308,  621.
    119.348186, 0.998195, 0.001152, 1.308,  617.
    119.348957, 1.002676, 0.001189, 1.306,  618.
    119.349344, 0.995202, 0.001157, 1.306,  623.
    119.349730, 0.996490, 0.001170, 1.305,  631.
    119.350116, 0.996335, 0.001170, 1.304,  640.
    119.350501, 0.994332, 0.001181, 1.304,  651.
    119.350886, 0.999926, 0.001221, 1.303,  660.
    119.351272, 0.997178, 0.001165, 1.302,  667.
    119.351658, 1.000290, 0.001151, 1.302,  673.
