BJD,FLUX,ERRFLUX,AIRMASS,SKY
    503.730305, 1.023611, 0.000260, 1.442,89334.
    503.731027, 1.026163, 0.000263, 1.440,86797.
    503.732471, 1.025501, 0.000261, 1.436,81979.
    503.733193, 1.024495, 0.000261, 1.435,79681.
    503.734637, 1.020465, 0.000259, 1.431,75146.
    503.735360, 1.023851, 0.000262, 1.430,72904.
    503.736805, 1.020761, 0.000262, 1.426,68706.
    503.737527, 1.018392, 0.000260, 1.425,66551.
    503.738249, 1.024032, 0.000265, 1.423,64475.
    503.738971, 1.022847, 0.000263, 1.421,62418.
    503.740416, 1.021511, 0.000257, 1.418,58417.
    503.742582, 1.021382, 0.000261, 1.413,52946.
    503.743304, 1.020425, 0.000258, 1.411,51251.
    503.744748, 1.019172, 0.000258, 1.408,47989.
    503.745471, 1.020277, 0.000258, 1.407,46431.
    503.746193, 1.020083, 0.000258, 1.405,44854.
    503.746915, 1.019364, 0.000258, 1.403,43293.
    503.747638, 1.020487, 0.000261, 1.402,41831.
    503.748360, 1.021503, 0.000262, 1.400,40402.
    503.749804, 1.019580, 0.000259, 1.397,37700.
    503.750526, 1.020619, 0.000262, 1.396,36357.
    503.751248, 1.018597, 0.000257, 1.394,35097.
    503.751971, 1.018120, 0.000256, 1.393,33850.
    503.752692, 1.013736, 0.000256, 1.391,32621.
    503.753415, 1.017366, 0.000258, 1.389,31419.
    503.754137, 1.018036, 0.000255, 1.388,30277.
    503.754859, 1.017967, 0.000257, 1.386,29137.
    503.755581, 1.017577, 0.000257, 1.385,28132.
    503.756303, 1.017009, 0.000258, 1.383,27099.
    503.757025, 1.016819, 0.000258, 1.382,26107.
    503.757748, 1.017945, 0.000259, 1.380,25186.
    503.758470, 1.016233, 0.000258, 1.379,24274.
    503.759192, 1.015036, 0.000259, 1.378,23346.
    503.759914, 1.019940, 0.000262, 1.376,22453.
    503.760636, 1.013606, 0.000264, 1.375,21491.
    503.761358, 1.016789, 0.000262, 1.373,20587.
    503.762080, 1.016608, 0.000262, 1.372,19763.
    503.762802, 1.015174, 0.000259, 1.370,18975.
    503.763525, 1.015812, 0.000256, 1.369,18219.
    503.764247, 1.015988, 0.000258, 1.367,17543.
    503.764970, 1.013142, 0.000259, 1.366,16809.
    503.765692, 1.016011, 0.000262, 1.365,16180.
    503.766414, 1.015033, 0.000263, 1.363,15447.
    503.767136, 1.013255, 0.000261, 1.362,14816.
    503.767858, 1.015223, 0.000262, 1.360,14186.
    503.768581, 1.015378, 0.000262, 1.359,13608.
    503.769303, 1.013432, 0.000260, 1.358,13107.
    503.770025, 1.014259, 0.000259, 1.356,12592.
    503.770748, 1.016257, 0.000261, 1.355,12049.
    503.771470, 1.014735, 0.000258, 1.354,11635.
    503.772192, 1.014650, 0.000258, 1.352,11236.
    503.772914, 1.012193, 0.000258, 1.351,10782.
    503.773636, 1.011538, 0.000255, 1.350,10368.
    503.774358, 1.013403, 0.000255, 1.348, 9953.
    503.775080, 1.013647, 0.000256, 1.347, 9559.
    503.775802, 1.013165, 0.000255, 1.346, 9163.
    503.776524, 1.011711, 0.000255, 1.344, 8745.
    503.777246, 1.012157, 0.000254, 1.343, 8380.
    503.777969, 1.011991, 0.000254, 1.342, 8000.
    503.778691, 1.012147, 0.000255, 1.340, 7674.
    503.779413, 1.012846, 0.000255, 1.339, 7307.
    503.780135, 1.011428, 0.000254, 1.338, 7039.
    503.780857, 1.012198, 0.000252, 1.337, 6734.
    503.781580, 1.011092, 0.000252, 1.335, 6476.
    503.782302, 1.010148, 0.000252, 1.334, 6233.
    503.783025, 1.012795, 0.000255, 1.333, 6032.
    503.783747, 1.011044, 0.000256, 1.332, 5805.
    503.784470, 1.010743, 0.000256, 1.330, 5600.
    503.785192, 1.010819, 0.000256, 1.329, 5369.
    503.785914, 1.011707, 0.000259, 1.328, 5087.
    503.786636, 1.008518, 0.000255, 1.327, 4888.
