;moyenne;note1;note2;note3;note4;note5;note6;note7;note8;note9
eleve1;12,5;10;8,9;9,9;12,3;11,1;12,3;13,1;14,5;20
eleve2;;4,2;2,1;16,5;15;19,6;7,5;10,3;18,8;17,4
eleve3;;8,4;18,4;6,3;19,7;6,4;11,3;4;18,4;18
eleve4;;16,4;6,4;8,9;5,4;6,5;13,9;1,4;9,8;9,7
eleve5;;16,7;7,8;2;18,4;11,9;18;12,1;3,9;12,9
eleve6;;13,6;6,7;14,8;2,2;19,3;5,2;3,1;14,8;3,3
eleve7;;18,8;3,9;8,5;4,9;8,4;13,5;8,9;1,1;19,9
eleve8;;5,4;14,7;17,6;13,7;4,9;4,1;11,5;4,6;6,1
eleve9;;8,9;5,3;1,2;5,8;1;17,9;13,9;7,4;5,3
eleve10;;1,5;19,2;6,1;16,1;7,4;18,3;5;13,1;7,6
