"ligue","saison","jour","date","lieu","equipe_domicile","score_domicile","equipe_exterieur","score_exterieur"
"L1","2002-2003",1,"2002-08-02 20:45:00+02:00","Guingamp","Guingamp",3,"Lyon",3
"L1","2002-2003",1,"2002-08-03 17:15:00+02:00","Lyon","Marseille",0,"Nantes",2
"L1","2002-2003",1,"2002-08-03 20:00:00+02:00","Troyes","Troyes",0,"Monaco",4
"L1","2002-2003",1,"2002-08-03 20:00:00+02:00","Strasbourg","Strasbourg",1,"AC Ajaccio",1
"L1","2002-2003",1,"2002-08-03 20:00:00+02:00","Montpellier","Montpellier",1,"Rennes",0
"L1","2002-2003",1,"2002-08-03 20:00:00+02:00","Sedan","Sedan",0,"Sochaux",0
"L1","2002-2003",1,"2002-08-03 20:00:00+02:00","Bastia","Bastia",1,"Lens",1
"L1","2002-2003",1,"2002-08-03 20:00:00+02:00","Nice","Nice",1,"Le Havre",2
"L1","2002-2003",1,"2002-08-03 20:00:00+02:00","Paris","Paris-SG",1,"Auxerre",0
"L1","2002-2003",1,"2002-08-03 20:00:00+02:00","Lille","Lille",0,"Bordeaux",3
"L1","2002-2003",2,"2002-08-08 20:00:00+02:00","Auxerre","Auxerre",2,"Montpellier",0
"L1","2002-2003",2,"2002-08-09 20:45:00+02:00","Bordeaux","Bordeaux",0,"Paris-SG",0
"L1","2002-2003",2,"2002-08-10 17:15:00+02:00","Lens","Lens",1,"Sochaux",1
"L1","2002-2003",2,"2002-08-10 20:00:00+02:00","Rennes","Rennes",0,"Troyes",0
"L1","2002-2003",2,"2002-08-10 20:00:00+02:00","Nice","Nice",4,"Strasbourg",0
"L1","2002-2003",2,"2002-08-10 20:00:00+02:00","AC Ajaccio","AC Ajaccio",0,"Guingamp",2
"L1","2002-2003",2,"2002-08-10 20:00:00+02:00","Lyon","Lyon",6,"Sedan",1
"L1","2002-2003",2,"2002-08-10 20:00:00+02:00","Le Havre","Le Havre",0,"Lille",0
"L1","2002-2003",2,"2002-08-10 20:00:00+02:00","Nantes","Nantes",1,"Bastia",0
"L1","2002-2003",2,"2002-08-10 20:00:00+02:00","Monaco","Monaco",0,"Marseille",1
"L1","2002-2003",3,"2002-08-16 20:45:00+02:00","Marseille","Marseille",1,"Lyon",1
"L1","2002-2003",3,"2002-08-17 17:15:00+02:00","Montpellier","Montpellier",0,"Bordeaux",1
"L1","2002-2003",3,"2002-08-17 20:00:00+02:00","Sochaux","Sochaux",4,"Nantes",2
"L1","2002-2003",3,"2002-08-17 20:00:00+02:00","Strasbourg","Strasbourg",1,"Le Havre",1
"L1","2002-2003",3,"2002-08-17 20:00:00+02:00","Paris","Paris-SG",2,"AC Ajaccio",2
"L1","2002-2003",3,"2002-08-17 20:00:00+02:00","Lille","Lille",0,"Nice",3
"L1","2002-2003",3,"2002-08-17 20:00:00+02:00","Bastia","Bastia",1,"Monaco",0
"L1","2002-2003",3,"2002-08-17 20:00:00+02:00","Guingamp","Guingamp",3,"Rennes",0
"L1","2002-2003",3,"2002-08-17 20:00:00+02:00","Troyes","Troyes",1,"Auxerre",2
"L1","2002-2003",3,"2002-08-17 20:00:00+02:00","Sedan","Sedan",0,"Lens",1
"L1","2002-2003",4,"2002-08-23 20:00:00+02:00","Lille","Lille",0,"Troyes",0
"L1","2002-2003",4,"2002-08-24 17:15:00+02:00","Nantes","Nantes",2,"Lens",2
"L1","2002-2003",4,"2002-08-24 20:00:00+02:00","Auxerre","Auxerre",2,"Guingamp",1
"L1","2002-2003",4,"2002-08-24 20:00:00+02:00","Bordeaux","Bordeaux",1,"Strasbourg",2
"L1","2002-2003",4,"2002-08-24 20:00:00+02:00","Nice","Nice",2,"Montpellier",1
"L1","2002-2003",4,"2002-08-24 20:00:00+02:00","Lyon","Lyon",4,"Bastia",1
"L1","2002-2003",4,"2002-08-24 20:00:00+02:00","Monaco","Monaco",1,"Sochaux",0
"L1","2002-2003",4,"2002-08-24 20:00:00+02:00","Rennes","Rennes",1,"Marseille",3
"L1","2002-2003",4,"2002-08-24 20:00:00+02:00","Ajaccio","AC Ajaccio",1,"Sedan",0
"L1","2002-2003",4,"2002-08-25 20:45:00+02:00","Le Havre","Le Havre",0,"Paris-SG",1
"L1","2002-2003",5,"2002-08-31 17:15:00+02:00","Lens","Lens",1,"Monaco",0
"L1","2002-2003",5,"2002-08-31 20:00:00+02:00","Sochaux","Sochaux",2,"Lyon",1
"L1","2002-2003",5,"2002-08-31 20:00:00+02:00","Guingamp","Guingamp",0,"Bordeaux",0
"L1","2002-2003",5,"2002-08-31 20:00:00+02:00","Sedan","Sedan",1,"Nantes",0
"L1","2002-2003",5,"2002-08-31 20:00:00+02:00","Troyes","Troyes",1,"AC Ajaccio",0
"L1","2002-2003",5,"2002-08-31 20:00:00+02:00","Montpellier","Montpellier",0,"Le Havre",0
"L1","2002-2003",5,"2002-08-31 20:00:00+02:00","Paris","Paris-SG",1,"Nice",1
"L1","2002-2003",5,"2002-08-31 20:00:00+02:00","Strasbourg","Strasbourg",2,"Lille",2
"L1","2002-2003",5,"2002-08-31 20:00:00+02:00","Bastia","Bastia",3,"Rennes",1
"L1","2002-2003",5,"2002-09-01 20:45:00+02:00","Marseille","Marseille",0,"Auxerre",0
"L1","2002-2003",6,"2002-09-10 20:45:00+02:00","Lyon","Lyon",1,"Lens",0
"L1","2002-2003",6,"2002-09-11 18:00:00+02:00","Nice","Nice",2,"Marseille",0
"L1","2002-2003",6,"2002-09-11 20:30:00+02:00","Lille","Lille",2,"Paris-SG",1
"L1","2002-2003",6,"2002-09-11 20:30:00+02:00","Le Havre","Le Havre",1,"Guingamp",2
"L1","2002-2003",6,"2002-09-11 20:30:00+02:00","Bordeaux","Bordeaux",1,"Troyes",0
"L1","2002-2003",6,"2002-09-11 20:30:00+02:00","Rennes","Rennes",2,"Sochaux",2
"L1","2002-2003",6,"2002-09-11 20:30:00+02:00","Monaco","Monaco",2,"Nantes",1
"L1","2002-2003",6,"2002-09-11 20:30:00+02:00","Strasbourg","Strasbourg",1,"Sedan",1
"L1","2002-2003",6,"2002-09-11 20:30:00+02:00","Ajaccio","AC Ajaccio",0,"Montpellier",0
"L1","2002-2003",6,"2002-09-11 20:30:00+02:00","Auxerre","Auxerre",1,"Bastia",0
"L1","2002-2003",7,"2002-09-14 17:15:00+02:00","Marseille","Marseille",2,"Bordeaux",1
"L1","2002-2003",7,"2002-09-14 20:00:00+02:00","Nantes","Nantes",1,"Lyon",0
"L1","2002-2003",7,"2002-09-14 20:00:00+02:00","Montpellier","Montpellier",1,"Lille",0
"L1","2002-2003",7,"2002-09-14 20:00:00+02:00","Troyes","Troyes",1,"Le Havre",1
"L1","2002-2003",7,"2002-09-14 20:00:00+02:00","Lens","Lens",1,"Rennes",0
"L1","2002-2003",7,"2002-09-14 20:00:00+02:00","Sochaux","Sochaux",1,"Auxerre",1
"L1","2002-2003",7,"2002-09-14 20:00:00+02:00","Paris-SG","Paris-SG",3,"Strasbourg",0
"L1","2002-2003",7,"2002-09-14 20:00:00+02:00","Sedan","Sedan",2,"Monaco",2
"L1","2002-2003",7,"2002-09-14 20:00:00+02:00","Guingamp","Guingamp",0,"Nice",0
"L1","2002-2003",7,"2002-09-15 20:45:00+02:00","Bastia","Bastia",1,"AC Ajaccio",2
"L1","2002-2003",8,"2002-09-21 17:15:00+02:00","Lyon","Lyon",1,"Monaco",3
"L1","2002-2003",8,"2002-09-21 20:00:00+02:00","Strasbourg","Strasbourg",3,"Montpellier",2
"L1","2002-2003",8,"2002-09-21 20:00:00+02:00","AC Ajaccio","AC Ajaccio",0,"Sochaux",1
"L1","2002-2003",8,"2002-09-21 20:00:00+02:00","Rennes","Rennes",1,"Nantes",0
"L1","2002-2003",8,"2002-09-21 20:00:00+02:00","Bordeaux","Bordeaux",1,"Lens",0
"L1","2002-2003",8,"2002-09-21 20:00:00+02:00","Lille","Lille",2,"Guingamp",1
"L1","2002-2003",8,"2002-09-21 20:00:00+02:00","Nice","Nice",1,"Troyes",0
"L1","2002-2003",8,"2002-09-21 20:00:00+02:00","Le Havre","Le Havre",1,"Marseille",3
"L1","2002-2003",8,"2002-09-22 20:45:00+02:00","Paris-SG","Paris-SG",1,"Bastia",1
"L1","2002-2003",9,"2002-09-27 20:45:00+02:00","Marseille","Marseille",3,"AC Ajaccio",1
"L1","2002-2003",9,"2002-09-28 17:15:00+02:00","Nantes","Nantes",1,"Auxerre",4
"L1","2002-2003",9,"2002-09-28 20:00:00+02:00","Montpellier","Montpellier",1,"Paris-SG",1
"L1","2002-2003",9,"2002-09-28 20:00:00+02:00","Guingamp","Guingamp",2,"Strasbourg",3
"L1","2002-2003",9,"2002-09-28 20:00:00+02:00","Lens","Lens",0,"Lille",0
"L1","2002-2003",9,"2002-09-28 20:00:00+02:00","Monaco","Monaco",2,"Rennes",1
"L1","2002-2003",9,"2002-09-28 20:00:00+02:00","Bastia","Bastia",2,"Bordeaux",1
"L1","2002-2003",9,"2002-09-28 20:00:00+02:00","Sochaux","Sochaux",1,"Nice",0
"L1","2002-2003",9,"2002-09-28 20:00:00+02:00","Sedan","Sedan",4,"Le Havre",0
"L1","2002-2003",9,"2002-09-28 20:00:00+02:00","Troyes","Troyes",1,"Lyon",1
"L1","2002-2003",10,"2002-10-05 20:00:00+02:00","Nice","Nice",2,"Bastia",0
"L1","2002-2003",10,"2002-10-05 20:00:00+02:00","AC Ajaccio","AC Ajaccio",1,"Nantes",0
"L1","2002-2003",10,"2002-10-05 20:00:00+02:00","Rennes","Rennes",0,"Lyon",1
"L1","2002-2003",10,"2002-10-05 20:00:00+02:00","Strasbourg","Strasbourg",2,"Troyes",1
"L1","2002-2003",10,"2002-10-05 20:00:00+02:00","Montpellier","Montpellier",0,"Lens",2
"L1","2002-2003",10,"2002-10-05 20:00:00+02:00","Le Havre","Le Havre",1,"Sochaux",0
"L1","2002-2003",10,"2002-10-05 20:00:00+02:00","Lille","Lille",3,"Marseille",0
"L1","2002-2003",10,"2002-10-06 18:00:00+02:00","Bordeaux","Bordeaux",2,"Sedan",2
"L1","2002-2003",10,"2002-10-06 18:15:00+02:00","Auxerre","Auxerre",1,"Monaco",1
"L1","2002-2003",10,"2002-10-06 20:45:00+02:00","Paris-SG","Paris-SG",5,"Guingamp",0
"L1","2002-2003",11,"2002-10-19 17:15:00+02:00","Lyon","Lyon",3,"Auxerre",0
"L1","2002-2003",11,"2002-10-19 20:00:00+02:00","Nantes","Nantes",0,"Nice",0
"L1","2002-2003",11,"2002-10-19 20:00:00+02:00","Troyes","Troyes",1,"Paris-SG",2
"L1","2002-2003",11,"2002-10-19 20:00:00+02:00","Sedan","Sedan",1,"Rennes",3
"L1","2002-2003",11,"2002-10-19 20:00:00+02:00","Bastia","Bastia",3,"Le Havre",1
"L1","2002-2003",11,"2002-10-19 20:00:00+02:00","Monaco","Monaco",1,"Lille",1
"L1","2002-2003",11,"2002-10-19 20:00:00+02:00","Sochaux","Sochaux",2,"Bordeaux",0
"L1","2002-2003",11,"2002-10-19 20:00:00+02:00","Lens","Lens",1,"AC Ajaccio",1
"L1","2002-2003",11,"2002-10-19 20:00:00+02:00","Guingamp","Guingamp",3,"Montpellier",1
"L1","2002-2003",11,"2002-10-20 20:45:00+02:00","Marseille","Marseille",1,"Strasbourg",0
"L1","2002-2003",12,"2002-10-25 20:45:00+02:00","Bordeaux","Bordeaux",2,"Monaco",2
"L1","2002-2003",12,"2002-10-26 17:15:00+02:00","Paris-SG","Paris-SG",3,"Marseille",0
"L1","2002-2003",12,"2002-10-26 20:00:00+02:00","Montpellier","Montpellier",2,"Troyes",2
"L1","2002-2003",12,"2002-10-26 20:00:00+02:00","Guingamp","Guingamp",0,"Sedan",1
"L1","2002-2003",12,"2002-10-26 20:00:00+02:00","Strasbourg","Strasbourg",2,"Bastia",0
"L1","2002-2003",12,"2002-10-26 20:00:00+02:00","AC Ajaccio","AC Ajaccio",0,"Lyon",1
"L1","2002-2003",12,"2002-10-26 20:00:00+02:00","Lille","Lille",1,"Sochaux",0
"L1","2002-2003",12,"2002-10-26 20:00:00+02:00","Auxerre","Auxerre",1,"Rennes",0
"L1","2002-2003",12,"2002-10-26 20:00:00+02:00","Nice","Nice",0,"Lens",0
"L1","2002-2003",12,"2002-10-26 20:00:00+02:00","Le Havre","Le Havre",1,"Nantes",1
"L1","2002-2003",13,"2002-11-02 17:15:00+01:00","Lyon","Lyon",2,"Nice",2
"L1","2002-2003",13,"2002-11-02 20:00:00+01:00","Troyes","Troyes",0,"Guingamp",2
"L1","2002-2003",13,"2002-11-02 20:00:00+01:00","Sochaux","Sochaux",2,"Strasbourg",0
"L1","2002-2003",13,"2002-11-02 20:00:00+01:00","Bastia","Bastia",1,"Lille",0
